ensemble,weights,oof_macro_f1,run_1,run_2,run_3,w_run_1,w_run_2,w_run_3
autoblend_baseline_resnext50_32x4d_img224_20260328_222704-0p4316__baseline_efficientnet_b3_img288_20260328_213015-0p3628__baseline_convnext_tiny_img320_20260328_233846-0p2056,"{'baseline_resnext50_32x4d_img224_20260328_222704': 0.4316, 'baseline_efficientnet_b3_img288_20260328_213015': 0.3628, 'baseline_convnext_tiny_img320_20260328_233846': 0.2056}",0.9212225393751129,baseline_resnext50_32x4d_img224_20260328_222704,baseline_efficientnet_b3_img288_20260328_213015,baseline_convnext_tiny_img320_20260328_233846,0.4316181254649801,0.3627658682820766,0.20561600625294338
autoblend_baseline_resnext50_32x4d_img224_20260328_222704-0p4811__baseline_efficientnet_b3_img288_20260328_213015-0p3591__baseline_convnext_tiny_img320_20260328_233846-0p1597,"{'baseline_resnext50_32x4d_img224_20260328_222704': 0.4811, 'baseline_efficientnet_b3_img288_20260328_213015': 0.3591, 'baseline_convnext_tiny_img320_20260328_233846': 0.1597}",0.9212225393751129,baseline_resnext50_32x4d_img224_20260328_222704,baseline_efficientnet_b3_img288_20260328_213015,baseline_convnext_tiny_img320_20260328_233846,0.48111657000438973,0.35914819162510175,0.1597352383705085
autoblend_baseline_resnext50_32x4d_img224_20260328_222704-0p2524__baseline_efficientnet_b3_img288_20260328_213015-0p4648__baseline_convnext_tiny_img320_20260328_233846-0p2828,"{'baseline_resnext50_32x4d_img224_20260328_222704': 0.2524, 'baseline_efficientnet_b3_img288_20260328_213015': 0.4648, 'baseline_convnext_tiny_img320_20260328_233846': 0.2828}",0.9209685508799045,baseline_resnext50_32x4d_img224_20260328_222704,baseline_efficientnet_b3_img288_20260328_213015,baseline_convnext_tiny_img320_20260328_233846,0.252444940537353,0.4647851278528482,0.2827699316097989
autoblend_baseline_resnext50_32x4d_img224_20260328_222704-0p4297__baseline_efficientnet_b3_img288_20260328_213015-0p2733__baseline_convnext_tiny_img320_20260328_233846-0p2970,"{'baseline_resnext50_32x4d_img224_20260328_222704': 0.4297, 'baseline_efficientnet_b3_img288_20260328_213015': 0.2733, 'baseline_convnext_tiny_img320_20260328_233846': 0.297}",0.920736350753057,baseline_resnext50_32x4d_img224_20260328_222704,baseline_efficientnet_b3_img288_20260328_213015,baseline_convnext_tiny_img320_20260328_233846,0.4296914286681301,0.27328397952715144,0.2970245918047186
autoblend_baseline_resnext50_32x4d_img224_20260328_222704-0p3615__baseline_efficientnet_b3_img288_20260328_213015-0p3419__baseline_convnext_tiny_img320_20260328_233846-0p2967,"{'baseline_resnext50_32x4d_img224_20260328_222704': 0.3615, 'baseline_efficientnet_b3_img288_20260328_213015': 0.3419, 'baseline_convnext_tiny_img320_20260328_233846': 0.2967}",0.9207284221231739,baseline_resnext50_32x4d_img224_20260328_222704,baseline_efficientnet_b3_img288_20260328_213015,baseline_convnext_tiny_img320_20260328_233846,0.3614528282442647,0.3418647854777673,0.29668238627796806
autoblend_baseline_resnext50_32x4d_img224_20260328_222704-0p3631__baseline_efficientnet_b3_img288_20260328_213015-0p3366__baseline_convnext_tiny_img320_20260328_233846-0p3003,"{'baseline_resnext50_32x4d_img224_20260328_222704': 0.3631, 'baseline_efficientnet_b3_img288_20260328_213015': 0.3366, 'baseline_convnext_tiny_img320_20260328_233846': 0.3003}",0.9207284221231739,baseline_resnext50_32x4d_img224_20260328_222704,baseline_efficientnet_b3_img288_20260328_213015,baseline_convnext_tiny_img320_20260328_233846,0.36312685521054067,0.33659443784738236,0.30027870694207703
autoblend_baseline_resnext50_32x4d_img224_20260328_222704-0p3414__baseline_efficientnet_b3_img288_20260328_213015-0p3590__baseline_convnext_tiny_img320_20260328_233846-0p2996,"{'baseline_resnext50_32x4d_img224_20260328_222704': 0.3414, 'baseline_efficientnet_b3_img288_20260328_213015': 0.359, 'baseline_convnext_tiny_img320_20260328_233846': 0.2996}",0.9207284221231739,baseline_resnext50_32x4d_img224_20260328_222704,baseline_efficientnet_b3_img288_20260328_213015,baseline_convnext_tiny_img320_20260328_233846,0.34143770919167854,0.35899890944080887,0.29956338136751265
autoblend_baseline_resnext50_32x4d_img224_20260328_222704-0p4000__baseline_efficientnet_b3_img288_20260328_213015-0p3000__baseline_convnext_tiny_img320_20260328_233846-0p3000,"{'baseline_resnext50_32x4d_img224_20260328_222704': 0.4, 'baseline_efficientnet_b3_img288_20260328_213015': 0.3, 'baseline_convnext_tiny_img320_20260328_233846': 0.3}",0.9207284221231739,baseline_resnext50_32x4d_img224_20260328_222704,baseline_efficientnet_b3_img288_20260328_213015,baseline_convnext_tiny_img320_20260328_233846,0.4,0.3,0.3
autoblend_baseline_resnext50_32x4d_img224_20260328_222704-0p3500__baseline_efficientnet_b3_img288_20260328_213015-0p3500__baseline_convnext_tiny_img320_20260328_233846-0p3000,"{'baseline_resnext50_32x4d_img224_20260328_222704': 0.35, 'baseline_efficientnet_b3_img288_20260328_213015': 0.35, 'baseline_convnext_tiny_img320_20260328_233846': 0.3}",0.9207284221231739,baseline_resnext50_32x4d_img224_20260328_222704,baseline_efficientnet_b3_img288_20260328_213015,baseline_convnext_tiny_img320_20260328_233846,0.35,0.35,0.3
autoblend_baseline_resnext50_32x4d_img224_20260328_222704-0p5000__baseline_efficientnet_b3_img288_20260328_213015-0p3500__baseline_convnext_tiny_img320_20260328_233846-0p1500,"{'baseline_resnext50_32x4d_img224_20260328_222704': 0.5, 'baseline_efficientnet_b3_img288_20260328_213015': 0.35, 'baseline_convnext_tiny_img320_20260328_233846': 0.15}",0.9206418463091847,baseline_resnext50_32x4d_img224_20260328_222704,baseline_efficientnet_b3_img288_20260328_213015,baseline_convnext_tiny_img320_20260328_233846,0.5,0.35,0.15
